Tanggal,Kode,Strategi,Entry,SL,TP1,TP2,Pernah_Warning,Status_TP
2026-08-26,TOWR.JK,🌟 KATALIS POSITIF MASIF,474.0,414.2142857142857,479.3571428571428,502.7142857142857,False,TP1
2026-08-26,EMAS.JK,✨ KATALIS POSITIF SIGNIFIKAN,9125.0,7539.285714285715,9282.142857142857,9839.285714285714,False,TP1
2026-08-26,TMPO.JK,🚀 BREAKOUT,252.0,155.64285714285714,298.07142857142856,344.1428571428571,True,
2026-08-26,FPNI.JK,🚀 BREAKOUT,665.0,505.7857142857143,737.6428571428571,810.2857142857142,False,
2026-08-28,CSMI.JK,🌟 KATALIS POSITIF MASIF,183.0,116.32142857142856,190.03571428571428,213.07142857142856,False,TP1
2026-08-28,CSMI.JK,🌟 KATALIS POSITIF MASIF,183.0,116.32142857142856,190.03571428571428,213.07142857142856,False,TP1
2026-08-28,CSMI.JK,🌟 KATALIS POSITIF MASIF,183.0,116.32142857142856,190.03571428571428,213.07142857142856,False,
2026-08-31,EXCL.JK,🌟 KATALIS POSITIF MASIF,2840.0,2478.5714285714284,2954.285714285714,3108.5714285714284,False,
2026-08-31,SOCI.JK,🌟 KATALIS POSITIF MASIF,595.0,478.4285714285714,585.7142857142857,626.4285714285714,False,TP1
2026-08-31,FILM.JK,🌟 KATALIS POSITIF MASIF,865.0,722.1428571428571,1035.227047047675,1280.0,False,
2026-08-31,EXCL.JK,🌟 KATALIS POSITIF MASIF,2850.0,2478.5714285714284,2954.285714285714,3108.5714285714284,False,
2026-08-31,SOCI.JK,🌟 KATALIS POSITIF MASIF,600.0,478.4285714285714,585.7142857142857,626.4285714285714,False,TP1
2026-08-31,OASA.JK,🌟 KATALIS POSITIF MASIF,342.0,303.42857142857144,323.55690735068214,380.0,False,TP1
2026-08-31,FILM.JK,🌟 KATALIS POSITIF MASIF,860.0,722.1428571428571,1035.227047047675,1280.0,False,
2026-08-31,SSIA.JK,🚀 BREAKOUT,1945.0,1785.357142857143,2063.928571428572,2182.857142857143,False,
2026-08-31,EXCL.JK,🌟 KATALIS POSITIF MASIF,2810.0,2478.5714285714284,2954.285714285714,3108.5714285714284,False,
2026-08-31,SOCI.JK,🌟 KATALIS POSITIF MASIF,595.0,478.4285714285714,585.7142857142857,626.4285714285714,False,TP1
2026-08-31,OASA.JK,🌟 KATALIS POSITIF MASIF,340.0,303.42857142857144,323.55690735068214,380.0,False,TP1
2026-08-31,FILM.JK,🌟 KATALIS POSITIF MASIF,830.0,722.1428571428571,1035.227047047675,1280.0,False,
2026-08-31,SSIA.JK,🚀 BREAKOUT,1960.0,1785.0,2080.0,2200.0,False,
2026-08-31,LUCY.JK,🚀 BREAKOUT,406.0,327.7857142857143,454.6428571428572,503.2857142857143,False,
2026-08-31,ADRO.JK,🚀 BREAKOUT,2840.0,2583.5714285714284,2949.285714285714,3058.5714285714284,False,
2026-08-31,INET.JK,✨ KATALIS POSITIF SIGNIFIKAN,350.0,279.0,363.0,396.0,False,TP1
2026-08-31,LUCY.JK,🚀 BREAKOUT,406.0,327.7857142857143,454.6428571428572,503.2857142857143,False,
2026-08-31,ITMG.JK,🚀 BREAKOUT,26050.0,25264.28571428572,26757.14285714286,27464.28571428572,False,
2026-08-31,DMAS.JK,🚀 BREAKOUT,208.0,174.78571428571428,223.6428571428572,239.28571428571428,True,
2026-08-31,ASLI.JK,🚀 BREAKOUT,310.0,221.03571428571428,354.8928571428571,399.7857142857143,True,
2026-08-31,SOCI.JK,🚀 BREAKOUT,595.0,525.3214285714286,639.0357142857143,683.0714285714286,False,
2026-08-31,PWON.JK,🚀 BREAKOUT,280.0,263.7142857142857,292.85714285714283,305.7142857142857,False,
2026-08-31,KOTA.JK,🚀 BREAKOUT,216.0,148.5,244.5,273.0,True,TP1
2026-08-31,POWR.JK,🚀 BREAKOUT,950.0,860.7142857142857,1022.8571428571428,1095.7142857142858,False,
2026-08-31,EXCL.JK,🌟 KATALIS POSITIF MASIF,2820.0,2478.5714285714284,2954.285714285714,3108.5714285714284,False,
2026-08-31,UNTR.JK,🌟 KATALIS POSITIF MASIF,24200.0,22802.67857142857,23952.136086376693,26175.0,False,TP1
2026-08-31,INDF.JK,🚀 BREAKOUT,7500.0,7183.035714285715,7700.892857142857,7901.785714285714,False,
2026-08-31,BEST.JK,🚀 BREAKOUT,139.0,119.03571428571428,150.89285714285714,162.78571428571428,False,
2026-08-31,BBRI.JK,✨ KATALIS POSITIF SIGNIFIKAN,3250.0,3058.5714285714284,3324.285714285714,3418.5714285714284,False,TP1
2026-08-31,AADI.JK,🚀 BREAKOUT,10825.0,9883.035714285714,11325.892857142857,11826.785714285714,False,
2026-08-31,BRMS.JK,✨ KATALIS POSITIF SIGNIFIKAN,750.0,607.5,737.5,790.0,False,TP1
2026-08-31,PGAS.JK,🌟 KATALIS POSITIF MASIF,1530.0,1476.071428571429,1556.7857142857142,1580.0,False,TP1
2026-08-31,BBNI.JK,🚀 BREAKOUT,3860.0,3670.714285714286,3977.857142857143,4095.714285714286,False,
2026-08-31,EMAS.JK,🚀 BREAKOUT,9600.0,8634.82142857143,10245.535714285714,10891.071428571428,False,
2026-08-31,JSMR.JK,🚀 BREAKOUT,2960.0,2749.6428571428573,3051.0714285714284,3142.1428571428573,False,
2026-08-31,SSIA.JK,🌟 KATALIS POSITIF MASIF,1940.0,1785.0,2080.0,2200.0,False,
2026-08-31,SRSN.JK,🚀 BREAKOUT,97.0,68.85714285714286,103.42857142857144,109.85714285714286,True,TP1
2026-08-31,OASA.JK,🌟 KATALIS POSITIF MASIF,334.0,303.42857142857144,323.55690735068214,380.0,False,TP1
2026-09-01,UNTR.JK,🌟 KATALIS POSITIF MASIF,24525.0,22802.67857142857,23952.136086376693,26175.0,False,TP1
2026-09-01,BRIS.JK,🌟 KATALIS POSITIF MASIF,1805.0,1756.7857142857142,1859.642857142857,1890.0,False,
2026-09-01,UNTR.JK,🌟 KATALIS POSITIF MASIF,25575.0,22802.67857142857,23952.136086376693,26175.0,False,
2026-09-01,LUCY.JK,🔥 CONFIRM REVERSAL,446.0,393.8571428571428,494.4285714285714,446.0,False,
2026-09-01,JSMR.JK,🌟 KATALIS POSITIF MASIF,2990.0,2749.6428571428573,3051.0714285714284,3142.1428571428573,False,
